,0,1,2,3,4,5,6,7,8,9,10
நாய்து,,,,,,,,,,,
நெஞ்சு,பிஞ்சு,,,,,,,,,,
எள்ளு,கொள்ளு,,,,,,,,,,
அல்லிக்,அல்லி,அல்லிப்பூ,,,,,,,,,
முள்ளி,உள்ளி,முள்ளங்கி,கம்பளி,முள்,,,,,,,
கொய்யாப்,,,,,,,,,,,
மலச்சி,குச்சி,பூச்சி,மில்லி,பச்சடி,,,,,,,
நிறம்,,,,,,,,,,,
குழை,குடை,,,,,,,,,,
குச்சி,கஞ்சி,பூச்சி,துளசசி,பச்சடி,கசக்கி,மலச்சி,,,,,
பிஞ்சு,பிஞ்சை,நெஞ்சு,,,,,,,,,
மரவிதை,விதை,விழுதை,,,,,,,,,
தண்ணீர்,,,,,,,,,,,
நெல்லிக்காய்,நெல்லிக்,நெல்லிக்காய் விதை,அருநெல்லிக்கா,நெல்லிக்காய் பொடி,தான்றிக்காய்,நெல்லிக்கா,கழற்சிக்காய்,நெல்லிக்கனி,,,
பால்,பாயில்,வால்,புல்,பாலை,பல்,பாகல்,,,,,
கீரையுடன்,கீரையுடன்சு,,,,,,,,,,
தூதுவளை கீரை,முளை கீரை,,,,,,,,,,
வத்தலை,ஓமத்தை,வற்றலை,,,,,,,,,
குப்பு,சதகுப்பு,௨ப்பு,பாம்பு,வேப்பு,பழுப்பு,உப்பு,கறுப்பு,இலுப்பு,,,
ஆடாதொடா இலை,,,,,,,,,,,
அத்தி,அகம்தி,அகத்தி,துத்தி,அத்திப்,,,,,,,
விளங்கம்,மாவிலங்கம்,விளாங்காய்,வெங்காயம்,லவங்கம்,,,,,,,
நெல்,நெய்,,,,,,,,,,
வாய்,காய்,நாய்,வாயு,,,,,,,,
சரக்கொன்றை,,,,,,,,,,,
கட்டு,கட்டி,ஆட்டு,கட்டை,உதட்டு,காட்டு,சொட்டு,கொட்டை,,,,
முள்ளங்கிக்கீர்,முள்ளங்கி கீரை,,,,,,,,,,
சுக்காங்,,,,,,,,,,,
முளை பருப்பு,,,,,,,,,,,
காலை,மாலை,பாலை,காயை,கடலை,,,,,,,
அறுவதா இலை,,,,,,,,,,,
பழுப்பு,கறுப்பு,இலுப்பு,குப்பு,,,,,,,,
பொன்னாங்கண்ணிக் கீரை,பொன்னாவரைக் கீரை,பொன்னாங்கண்ணி,,,,,,,,,
கற்பூரவள்ளி,,,,,,,,,,,
சோம்பை,வசம்பு,செம்பு,சோம்பு,அசோகம்,,,,,,,
பூக்கள்,பூக்களை,,,,,,,,,,
வேப்பிலை,,,,,,,,,,,
இராட்சை,இருவாட்சி,,,,,,,,,,
புளிச்ச,புளியம்,,,,,,,,,,
துளூ,,,,,,,,,,,
விளாங்காய்,வெங்காயம்,விளங்கம்,,,,,,,,,
துளி,துளசசி,துளூ,துளசி,புளி,,,,,,,
வதக்கு,சுக்கு,வழுக்கு,,,,,,,,,
இருவாட்சி,இருவாட்சி இலை,,,,,,,,,,
சிற்றீச்சங்,,,,,,,,,,,
எருக்கம்,,,,,,,,,,,
மருதம் மரப்பட்டை,மருதம் பட்டை,அசோகம் மரப்பட்டை,,,,,,,,,
எருமை,,,,,,,,,,,
பிண்ணாக்குக்,புண்ணாக்கு,,,,,,,,,,
அத்தி மரப்,அகத்தி பூ,,,,,,,,,,
தேங்காய்ப்,தேங்காய்,தேங்காய்ப்பால்,,,,,,,,,
மணலி கீரை,செடி கீரை,முளை கீரை,,,,,,,,,
இஞ்சிச்,இஞ்சி,இஞ்சம்,,,,,,,,,
ஆதொண்டை,தண்டை,தொண்டை,ஆடாதொடை,,,,,,,,
வில்வ,வில்வம்,,,,,,,,,,
வல்லாரை,,,,,,,,,,,
முசுமுசுக்கை,,,,,,,,,,,
காய்,கால்,காயை,கஷாயம்,நாய்,வாய்,,,,,,
பருப்புடன்,பருப்பையும்,கருப்பட்டி,,,,,,,,,
வல்லாரை கீரை,வல்லார் இலை,,,,,,,,,,
கம்,மண்,கல்,மஞ்,,,,,,,,
லவங்கம்,புங்கம்,வெங்காயம்,விளங்கம்,,,,,,,,
சதகுப்பை,,,,,,,,,,,
உளுந்தை,,,,,,,,,,,
ஆகியவற்றோடு,ஆகியவற்றை,,,,,,,,,,
தண்டை,துண்டை,தண்டு,ஆதொண்டை,துண்டு,தொண்டை,,,,,,
மர இலை,,,,,,,,,,,
பயறை,,,,,,,,,,,
வேரை,வேர்,,,,,,,,,,
வல்லார்,வல்லாரை,,,,,,,,,,
மஞ்சள்,இஞ்சம்,,,,,,,,,,
அவுரி இலை,அத்தி இலை,வில்வ இலை,மாவு இலை,,,,,,,,
கொத்தமல்லியோடு,,,,,,,,,,,
அந்திமல்லி,,,,,,,,,,,
காட்டு,கட்டி,ஆட்டு,கட்டை,உதட்டு,சொட்டு,கொட்டை,கட்டு,,,,
தாமரைவி,,,,,,,,,,,
கறுப்பு,சதகுப்பு,குப்பு,பழுப்பு,கறிவேப்பு,இலுப்பு,,,,,,
புதினாச்,புதினா,,,,,,,,,,
அம்மான்பச்சரி,,,,,,,,,,,
வெள்ளரிவி,வெள்ளரி,,,,,,,,,,
துயிலி கீரை,துத்தி கீரை,,,,,,,,,,
உளுந்து,,,,,,,,,,,
புண்கள்,பூக்கள்,புண்கு,,,,,,,,,
விழுதை,விழு,மரவிதை,விழுது,,,,,,,,
ஆகியவற்றைப்,ஆகியவற்றை,,,,,,,,,,
மூளை,முளை,,,,,,,,,,
தாமரை இலை,தாமரை பூ,,,,,,,,,,
தொண்டை,மொட்டை,தண்டை,துண்டை,தண்டு,ஆதொண்டை,கொட்டை,துண்டு,,,,
